authorId,name,url
40109500,K. Dijkstra,
41221290,J. V. D. Loosdrecht,
1799278,Lambert Schomaker,
32239759,M. Wiering,
81225546,Esra Seyran,
49746795,W. Craig,
122293629,S. Dash,
1867220,Inkyu Sa,
47734311,Marija Popovic,
39937174,R. Khanna,
2784591,Zetao Chen,
144147879,Juan I. Nieto,
1720483,R. Siegwart,
6971378,N. K. Kalagatur,
51113105,J. R. Kamasani,
4575790,C. Siddaiah,
2110651217,V. Gupta,
2064968334,K. Krishna,
6867047,Venkataramana Mudili,
47323015,Patrick A. Plonski,
1698835,Volkan Isler,
120809696,Jinran Liu,
2158501072,Pengfei Chen,
50180828,Xingang Xu,
52019679,Nik Hisham Nik Ibrahim,
144915244,Ahmad Rizan Ibrahim,
40170162,I. Mat,
37345377,A. N. Harun,
48157724,G. Witjaksono,
143701631,Wen Dong,
3106487,Tianjun Wu,
46676395,Yingwei Sun,
1762091,Jiancheng Luo,
31344236,R. K. Math,
1794853,Dr. Nagaraj V. Dharwadkar,
2124850903,Shuo Li,
2110248918,Zhou Lu,
2114646174,Ming Luo,
2145012598,Yulin Jiang,
96879869,Tong Han,
33859582,Q. Chu,
144473234,Fu Chen,
143776192,P. Hernández,
2394465668,Josefina C. Sillero,
2107961522,Yongsheng Wang,
2447647,Yan-sui Liu,
1403968481,Mayra Erazo-Rodas,
1405458068,Mary Sandoval-Moreno,
1397324845,Sergio Muñoz-Romero,
31546670,Mónica Huerta,
1405458079,D. Rivas-Lalaleo,
19383758,C. A. Naranjo,
1397324809,J. Rojo-álvarez,
2064527961,David Tseng,
2111256745,David Wang,
26650171,Carolyn L. Chen,
2113312120,Lauren Miller,
2107484384,W. Song,
3025646,J. Viers,
2108240,S. Vougioukas,
2930283,Stefano Carpin,
32027425,J. A. Ojea,
144344283,Ken Goldberg,
152321442,Qiting Huang,
1390863630,Yingpin Yang,
2636319,Lijing Gao,
2054763314,Hassan Ibrahim,
88282659,N. Mostafa,
2912149,Hassan H. Halawa,
31127290,M. Elsalamouny,
9308373,R. Daoud,
2478943,H. Amer,
7007912,A. Shaarawi,
143799905,Ahmed K. F. Khattab,
40456506,H. Elsayed,
2074656144,D. Langan,
51883425,Ryan Vraa,
145890135,Chong Xu,
2288765541,M. Kaur,
40003911,Cheol-Hong Min,
3038921,A. Chlingaryan,
1800730,S. Sukkarieh,
144648192,B. Whelan,
153295899,A. Castrignanò,
4572091,G. Buttafuoco,
34562853,R. Quarto,
2075761516,D. Parisi,
2241977331,R. A. V. Rossel,
34862512,F. Terribile,
48587308,G. Langella,
2110670646,Linlin Guo,
46399769,Yanghua Liu,
117189469,Hanjie Hao,
51442785,Jiaqi Han,
32390509,Tongkui Liao,
1405337429,Isaac Ndawula,
144793067,Samy F. M. Assal,
40006550,Y. Ren,
50326299,Yuchun Pan,
2146400414,Yu Liu,
2109800289,Xiumei Tang,
7882078,Bingbo Gao,
2382604,Yunbing Gao,
113240128,A. Machado,
2070255886,Rodrigo da Silva Ribeiro,
134438569,M. S. Moraes,
2266541789,Higor Marcelo Rainho,
2266541188,Paulo Vitor da Silva Ravani,
46596884,V. M. Spinelli,
7788004,X. Gu,
51431744,Meiyan Shu,
34831475,Guijun Yang,
50706865,Xiao-yu Song,
2098715368,Walther Palomino,
51441246,Giorgio Morales,
51450788,Samuel G. Huamán,
46289213,J. Telles,
39849965,Weicheng Ni,
1787563,Kaijun Ren,
