authorId,name,url,paperCount,citationCount
2752092,Shuqing Han,https://www.semanticscholar.org/author/2752092,40,433
1738205,I. Oseledets,https://www.semanticscholar.org/author/1738205,303,14028
72277943,Yong He,https://www.semanticscholar.org/author/72277943,31,1286
152817993,María Angeles Rodríguez,https://www.semanticscholar.org/author/152817993,6,45
144732520,L. Cuenca,https://www.semanticscholar.org/author/144732520,62,485
52041783,M. Luculescu,https://www.semanticscholar.org/author/52041783,36,72
2756871,S. Pignatti,https://www.semanticscholar.org/author/2756871,173,3246
1867220,Inkyu Sa,https://www.semanticscholar.org/author/1867220,69,4306
1781413,Á. O. Bas,https://www.semanticscholar.org/author/1781413,80,1128
2442601,S. Pascucci,https://www.semanticscholar.org/author/2442601,106,2541
